handle,title,vendor,media_id,old_alt,new_alt,image_url
pawnee,Stetson Pawnee 5X,STETSON,gid://shopify/MediaImage/43843688988976,,"Stetson Pawnee 5X, fur felt fedora in black",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/14b10b639a16bcafd11f4376b7057f52_514a4913-1073-44ea-9c05-46f494b61baf.webp?v=1781580330
pawnee,Stetson Pawnee 5X,STETSON,gid://shopify/MediaImage/43843689021744,,"Stetson Pawnee 5X, fur felt fedora in black",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/1a35bd29a768c8fa938c66807fbf9bc3_f2f39106-2efe-40db-808c-88019f5af42a.jpg?v=1781580330
pismo,Stetson Pismo,STETSON,gid://shopify/MediaImage/42366942511408,,"Stetson Pismo, wool felt cowboy hat in powder pink",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Pismo.webp?v=1762738441
pismo,Stetson Pismo,STETSON,gid://shopify/MediaImage/42366955684144,,"Stetson Pismo, wool felt cowboy hat in stonewash, another angle",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Pismo_4_9e69607a-4595-4d73-8801-2cf345038131.webp?v=1762738948
pismo,Stetson Pismo,STETSON,gid://shopify/MediaImage/42366955389232,,"Stetson Pismo, wool felt cowboy hat in phantom grey",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Pismo_2_d649223a-f5b3-4fe7-966e-8c132a9795db.webp?v=1762738931
pismo,Stetson Pismo,STETSON,gid://shopify/MediaImage/42366951915824,,"Stetson Pismo, wool felt cowboy hat",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Pismo_4.webp?v=1762738976
pismo,Stetson Pismo,STETSON,gid://shopify/MediaImage/42366944346416,,"Stetson Pismo, wool felt cowboy hat",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Pismo_1.webp?v=1762738976
pismo,Stetson Pismo,STETSON,gid://shopify/MediaImage/42366947557680,,"Stetson Pismo, wool felt cowboy hat",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Pismo_2.webp?v=1762738976
pismo,Stetson Pismo,STETSON,gid://shopify/MediaImage/42366949458224,,"Stetson Pismo, wool felt cowboy hat",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Pismo_3.webp?v=1762738976
pismo,Stetson Pismo,STETSON,gid://shopify/MediaImage/42366952931632,,"Stetson Pismo, wool felt cowboy hat",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Pismo_5.webp?v=1762738836
diamond-jim,Stetson Diamond Jim,STETSON,gid://shopify/MediaImage/43135370658096,,"Stetson Diamond Jim, 5x fur felt fedora in caribou",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Diamond_Jim.png?v=1773887215
temple,Stetson Temple,STETSON,gid://shopify/MediaImage/43253146878256,,"Stetson Temple, fur felt fedora in black",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Temple_1_7f68d35a-a016-464b-a9ef-647e3872d6f2.webp?v=1775277442
temple,Stetson Temple,STETSON,gid://shopify/MediaImage/43253146911024,,"Stetson Temple, fur felt fedora, another angle",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Temple_2_41da818d-7a5b-4a9c-8ece-50c99d770c42.webp?v=1775277442
temple,Stetson Temple,STETSON,gid://shopify/MediaImage/43253146943792,,"Stetson Temple, fur felt fedora in black",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/image_234dc359-f4f0-41ad-be9c-501883a29dfe.webp?v=1775277442
temple,Stetson Temple,STETSON,gid://shopify/MediaImage/43253146976560,,"Stetson Temple, fur felt fedora in black",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/image_678f7694-db68-404d-a2ec-e5788fede7af.webp?v=1775277442
temple,Stetson Temple,STETSON,gid://shopify/MediaImage/43253147009328,,"Stetson Temple, fur felt fedora in black",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/image_381dbcb4-b9c7-46b5-a07e-3acb9c6ac7af.webp?v=1775277441
temple,Stetson Temple,STETSON,gid://shopify/MediaImage/43253147042096,,"Stetson Temple, fur felt fedora in black",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/image_530020ba-4b2f-4e1b-ade2-e6a053190841.jpg?v=1775277442
pure-stratoliner-b,Stetson Pure Stratoliner,STETSON,gid://shopify/MediaImage/43135373279536,,"Stetson Pure Stratoliner, hat in alabaster",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/PureStratoliner.png?v=1773887251
center-dent-panama-fedora,Stetson Center Dent Panama Fedora,STETSON,gid://shopify/MediaImage/43135402967344,,"Stetson Center Dent Panama Fedora, panama straw in natural",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/CenterDent.png?v=1773887451
shasta,Stetson Shasta,STETSON,gid://shopify/MediaImage/42359224664368,,"Stetson Shasta, 10x beaver fur felt cowboy hat in black",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Shasta_1.png?v=1762576713
shasta,Stetson Shasta,STETSON,gid://shopify/MediaImage/42359211196720,,"Stetson Shasta, 10x beaver fur felt cowboy hat, another angle",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Shasta_1.webp?v=1762576713
shasta,Stetson Shasta,STETSON,gid://shopify/MediaImage/42274835530032,,"Stetson Shasta, 10x beaver fur felt cowboy hat in black",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Product_Shot_Sizing_ed0bfc0d-e77c-46fd-ab8a-1a90bffd1608.png?v=1762575599
grant,Stetson Grant 10X,STETSON,gid://shopify/MediaImage/43143011565872,,"Stetson Grant 10X, cowboy hat in natural",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Grant_T_1.png?v=1773902128
72-llano,Stetson 72 Llano,STETSON,gid://shopify/MediaImage/43853085868336,,"Stetson 72 Llano, 4x wool cowboy hat in chocolate",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/swllno-7242_chocolate_4_1_2_55bd5c3e-8239-49bd-8901-f19fc62d3644.png?v=1781639816
72-llano,Stetson 72 Llano,STETSON,gid://shopify/MediaImage/43853085901104,,"Stetson 72 Llano, 4x wool cowboy hat",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/SWLLNO-7242_49010cd0-144d-4d77-8aa3-9e3975bef987.png?v=1781639816
72-llano,Stetson 72 Llano,STETSON,gid://shopify/MediaImage/43853085933872,,"Stetson 72 Llano, 4x wool cowboy hat, another angle",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/swllno-7242_chocolate_4_1_1_12ae1b5f-6165-43d3-8a9c-efe5b9ff7886.png?v=1781639816
72-llano,Stetson 72 Llano,STETSON,gid://shopify/MediaImage/43853085966640,,"Stetson 72 Llano, 4x wool cowboy hat",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/SWLLNO-7242_32cfe944-c96d-4c83-973e-84be95d769f2.png?v=1781639816
72-llano,Stetson 72 Llano,STETSON,gid://shopify/MediaImage/43853085999408,,"Stetson 72 Llano, 4x wool cowboy hat",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/SWLLNO-7242_47a1937e-4319-419a-ba38-4f5c34bc9822.png?v=1781639816
72-llano,Stetson 72 Llano,STETSON,gid://shopify/MediaImage/43853086032176,,"Stetson 72 Llano, 4x wool cowboy hat in chocolate",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Llano_723968a7-97c5-4fef-ba62-492ea44c006a.png?v=1781639816
72-llano,Stetson 72 Llano,STETSON,gid://shopify/MediaImage/43853086064944,,"Stetson 72 Llano, 4x wool cowboy hat in black",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/SWLLNO-7242_c0bdf1ea-ce6d-416f-b5b0-f06a86ab8751.png?v=1781639816
lobo,Stetson 10X Lobo,STETSON,gid://shopify/MediaImage/42372838883632,,"Stetson 10X Lobo, shantung straw cowboy hat in natural",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Lobo.webp?v=1762795875
lobo,Stetson 10X Lobo,STETSON,gid://shopify/MediaImage/42372895572272,,"Stetson 10X Lobo, shantung straw cowboy hat, another angle",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Lobo_2.webp?v=1762796430
red-rocks,Stetson Red Rocks,STETSON,gid://shopify/MediaImage/43852007211312,,"Stetson Red Rocks, 3x wool cowboy hat",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/SWREDR-724201_ALT2_88fb3b11-7a35-4590-98f7-81f60170a3ac.png?v=1781632502
red-rocks,Stetson Red Rocks,STETSON,gid://shopify/MediaImage/43852007244080,,"Stetson Red Rocks, 3x wool cowboy hat, another angle",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/SWREDR-724201_ALT1_97fae3da-8cdd-4e43-ac52-2135d39d8c8e.png?v=1781632502
red-rocks,Stetson Red Rocks,STETSON,gid://shopify/MediaImage/43852007276848,,"Stetson Red Rocks, 3x wool cowboy hat",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/SWREDR-724201_ALT4_a80c814e-34c2-49bc-ba5a-de4f64ee95cb.png?v=1781632503
red-rocks,Stetson Red Rocks,STETSON,gid://shopify/MediaImage/43852007309616,,"Stetson Red Rocks, 3x wool cowboy hat",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/SWREDR-724207_ALT1_20cb7d43-353b-47fa-9821-823dbe50d75b.png?v=1781632502
red-rocks,Stetson Red Rocks,STETSON,gid://shopify/MediaImage/43852007342384,,"Stetson Red Rocks, 3x wool cowboy hat",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/SWREDR-724207_ALT2_824c4467-f5f9-4dec-8437-9e06829ee90e.png?v=1781632503
red-rocks,Stetson Red Rocks,STETSON,gid://shopify/MediaImage/43852007375152,,"Stetson Red Rocks, 3x wool cowboy hat",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/SWREDR-724207_ALT3_c914b635-0ab7-48a3-afac-a304dfc3acc7.png?v=1781632503
red-rocks,Stetson Red Rocks,STETSON,gid://shopify/MediaImage/43852007407920,,"Stetson Red Rocks, 3x wool cowboy hat in cognac",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/SWREDR-724201_6cbcec6e-7bbd-4f08-ae98-a77535c1263c.png?v=1781632503
red-rocks,Stetson Red Rocks,STETSON,gid://shopify/MediaImage/43852007440688,,"Stetson Red Rocks, 3x wool cowboy hat in black",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/SWREDR-724207_15e40835-f960-48fd-94b4-086359ee707f.png?v=1781632503
el-presidente,Stetson El Presidente,STETSON,gid://shopify/MediaImage/43135378719024,,"Stetson El Presidente, 100x beaver fur felt cowboy hat in black",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/ElPresidente_7b17a5c0-496f-4dd0-9a71-38630c5ffb81.png?v=1773887320
stetson-quicklink-b,Stetson Quicklink,STETSON,gid://shopify/MediaImage/43135384715568,,"Stetson Quicklink, hat in black",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Quicklink_1.png?v=1773887347
stetson-wildling,Stetson Wildling,STETSON,gid://shopify/MediaImage/43135374852400,,"Stetson Wildling, shantung straw cowboy hat in natural",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Wildling_2.png?v=1773887283
stetson-batterson,Stetson Batterson,STETSON,gid://shopify/MediaImage/43297898823984,,"Stetson Batterson, wool felt gambler hat in sand (79)",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Batterson_1_0dd4172f-4858-47cf-9d67-27c2b1653f12.webp?v=1775869352
rush,Stetson Rush,STETSON,gid://shopify/MediaImage/43135408603440,,"Stetson Rush, shantung straw hat in natural",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Rush_1.png?v=1773887481
stargazer,Stetson The Stargazer,STETSON,gid://shopify/MediaImage/43018491625776,,"Stetson The Stargazer, hat in natural",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Stargazer.png?v=1772907531
lakeland,Stetson Lakeland,STETSON,gid://shopify/MediaImage/42372336255280,,"Stetson Lakeland, hat in natural",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Lakeland_1.webp?v=1762793576
helix,Stetson Helix,STETSON,gid://shopify/MediaImage/43261515104560,,"Stetson Helix, shantung straw hat in black (07)",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Helix_bb7842c6-f007-48f0-b1cd-459cd7d661dc.png?v=1775440304
helix,Stetson Helix,STETSON,gid://shopify/MediaImage/43261515137328,,"Stetson Helix, shantung straw hat, another angle",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/2000363958_001_P3_JPG.png?v=1775440304
helix,Stetson Helix,STETSON,gid://shopify/MediaImage/43261515170096,,"Stetson Helix, shantung straw hat in black (07)",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/2000363958_001_P2_JPG.png?v=1775440305
gambler,Stetson Gambler,STETSON,gid://shopify/MediaImage/42368905183536,,"Stetson Gambler, seagrass straw gambler hat in wheat",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Gambler.webp?v=1762743356
gambler,Stetson Gambler,STETSON,gid://shopify/MediaImage/42368914784560,,"Stetson Gambler, seagrass straw gambler hat, another angle",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Gambler_2.webp?v=1762743682
gambler,Stetson Gambler,STETSON,gid://shopify/MediaImage/42368910655792,,"Stetson Gambler, seagrass straw gambler hat in wheat",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Gambler_1.webp?v=1762743682
lodge,Stetson Lodge,STETSON,gid://shopify/MediaImage/43852244058416,,"Stetson Lodge, hat in natural",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Lodge_1_20c86c74-4481-4081-b986-9d8d065bd3f5.png?v=1781633985
proud-american-hat,Proud American Hat,MASON JAR LABEL,gid://shopify/MediaImage/38566362087728,,Mason Jar Label Proud American Hat,https://cdn.shopify.com/s/files/1/0885/7180/6000/files/ProudAmerican.svg?v=1723828335
